alias	category	description	keywords
31025-1_Mountaintop-Lockout.mpd	Castle	A medieval-style castle with a red roof, stone walls, and a moat.	castle, medieval, stone walls, red roof, moat
31025-1_Small-Lodge.mpd	City / Town	A small LEGO model of a mountain hut with a red roof, chimney, and a tree in front.	mountain hut, red roof, chimney, tree, LEGO
31025-1.mpd	City / Town	A small, quaint house with a red roof and a mountain hut in the background.	house, mountain hut, red roof, small house, mountain
31027-1_Kart.mpd	Technic	A model car with a red and white top, blue body, and black wheels, accompanied by three small, brown, cone-shaped objects.	model car, red top, blue body, black wheels, cone-shaped objects
31027-1_Snow-Groomer.mpd	Technic	A model of a race car with a blue and white body, red roof, and a transparent hood.	race car, blue, white, red, transparent hood
31027-1.mpd	Technic	A blue and red Technic model with a red roof and white wheels, featuring a simple and functional design.	Technic, model, blue, red, simple
31028-1_Airboat.mpd	Vehicles	A LEGO model of a boat with a motor and a steering wheel.	LEGO, Airboat, Motor, Steering Wheel, Boat
31028-1_Sailboat.mpd	Vehicles	A LEGO model of a sailboat with a triangular sail and a small cabin.	LEGO, sailboat, triangular sail, cabin, model
31028-1.mpd	Technic	A model of a Sea Plane with various components and parts.	Sea Plane, Model, 31028, Technic, Aircraft
31031-1_Chameleon.mpd	Technic	A model of a vehicle with a green and red color scheme, featuring a crane-like structure on the back.	crane, vehicle, green, red, model
31031-1_Fish.mpd	Technic	A green and blue model of a vehicle with wings and a red component, possibly a helicopter or a futuristic vehicle.	green vehicle, blue wings, red component, futuristic, model
31031-1.mpd	Technic	A colorful, mechanical model resembling a dinosaur or robot with various mechanical parts and a head with a face.	mechanical model, colorful, robot, dinosaur, mechanical parts
31037-1_Helicopter.mpd	Technic	A helicopter model with a green and red body, featuring a rotor and landing gear.	helicopter, green body, red body, rotor, landing gear
31037-1_Hovercraft.mpd	Vehicles	A LEGO model of a hovercraft with a green and red body, a white front, and a blue circular object on the front.	hovercraft, LEGO, green, red, white
31037-1.mpd	Technic	A LEGO model of a Jeep with a detailed engine and off-road features.	LEGO, Jeep, Off-road, Engine, Model
31038-1_Automn.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a small house with a red roof, a blue awning, and a snowman in front.	dollhouse, house, red roof, blue awning, snowman
31038-1_Winter.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a small house with a snowman and a Christmas tree.	dollhouse, house, snowman, Christmas tree, Christmas
31038-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a small house with a red roof, a garden with vegetables, a tree, and a person in a wheelchair.	dollhouse, house, garden, vegetables, wheelchair
31039-1_Helicopter.mpd	Technic	A helicopter model with a blue and white color scheme.	helicopter, blue, white, model, technic
31039-1_Speedboat.mpd	Vehicles	A model of a speedboat with a crane on top, designed for cargo handling.	speedboat, cargo, crane, model, transport
31039-1.mpd	Technic	A model of a Blue Power Jet aircraft.	Blue Power Jet, aircraft, model, technic, jet
31040-1_Dune-Buggy.mpd	Technic	A model car with a red and black color scheme, featuring a detailed engine and wheels.	model car, red car, black car, engine, wheels
31040-1_Quad.mpd	Technic	A red and gray model car with a boxy design and large wheels.	model car, red car, gray car, boxy design, large wheels
31040-1.mpd	City / Town	A LEGO fire truck with a red and gray color scheme, equipped with a ladder and lights.	fire truck, LEGO, red, gray, ladder
31045-1_Aircraft.mpd	Technic	A LEGO model of an aircraft with a red and blue color scheme.	LEGO, Aircraft, Red, Blue, Model
31045-1_Submarine.mpd	Nautical / Submarine	A model of an Ocean Explorer Submarine with various components and a cylindrical structure.	Ocean Explorer Submarine, submarine, exploration, underwater, model
31045-1.mpd	Vehicles	A LEGO model of a boat with a crane and various equipment on top.	LEGO, boat, crane, equipment, model
31048-1_Observatory.mpd	Everyday Life / Interior	A small, detailed dollhouse-style build featuring a quaint house with a red roof and a bird perched on top.	dollhouse, house, red roof, bird, small
31048-1_Small-Cabin.mpd	Everyday Life / Interior	A small, colorful dollhouse-style house with a red roof and a window with a green frame.	dollhouse, house, red roof, window, colorful
31048-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a quaint house with a red roof, a cow statue, and a garden with flowers.	dollhouse, house, cow, garden, flowers
31049-1_Single-Engine-Airplane.mpd	Technic	A LEGO model of an aircraft with a blue and gray color scheme.	LEGO, aircraft, blue, gray, model
31049-1_Snowmobile.mpd	Technic	A model of a snowmobile with a blue and white color scheme, featuring a motor and tracks.	snowmobile, blue, white, tracks, motor
31049-1.mpd	Technic	A model of a construction site with a crane lifting a blue truck and a red tracked vehicle.	construction site, crane, blue truck, red vehicle, tracked vehicle
31063-1_Beachside-Shop.mpd	City / Town	A LEGO model of a small town with a Santa Claus figure standing in front of a shop.	Santa Claus, town, shop, LEGO, Christmas
31063-1_Boatside-Harbor.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a small house with a flag on top, a green roof, and a small garden area.	dollhouse, house, flag, garden, flagpole
31063-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a small shop with a yellow door, green awning, and a small tree with a birdhouse.	dollhouse, shop, yellow door, green awning, tree
31066-1_Rover.mpd	Technic	A LEGO model of a futuristic vehicle with a white and blue color scheme, featuring a transparent roof and a small figure standing next to it.	LEGO, futuristic vehicle, transparent roof, small figure, white and blue
31066-1_Shuttle.mpd	Technic	A detailed model of a spaceship with a sleek design and various components.	spaceship, model, sleek, components, technic
31066-1_Space-Base.mpd	Technic	A LEGO model of a space station or space shuttle with a blue and white color scheme, featuring a control room, a cockpit, and various equipment.	LEGO, space station, control room, cockpit, equipment
31070-1.mpd	Technic	A blue and white sports car model with an open roof and detailed interior, featuring a modern and sleek design.	sports car, open roof, sleek design, modern, model
31072-1_Hot-Rod.mpd	Technic	A model car with a blue and gray color scheme, featuring a yellow front bumper and a steering wheel.	model car, blue and gray, yellow bumper, steering wheel, technic
31072-1_Speedboat.mpd	Technic	A detailed model of a vehicle with a yellow base, blue accents, and a black top, featuring various mechanical components and a steering wheel.	vehicle, mechanatomy, mechanatomy, mechanatomy, mechanatomy
31072-1.mpd	Technic	A detailed model of a vehicle with a blue and yellow color scheme, featuring gears, axles, and a robust build.	vehicle, model, technic, mechan, construction
31084-1_Ship-ride.mpd	Technic	A complex model featuring various mechanical components and structures.	mechanical, components, structures, complex, model
31084-1_Skull-ride.mpd	Vehicles	A collection of toy boats and ships, including a pirate ship, a galleon, and a small boat with a flag.	toy boats, pirate ship, galleon, small boat, flag
31084-1.mpd	Pirates	A pirate ship with a cannon, a treasure chest, and a pirate flag.	pirate ship, cannon, treasure chest, pirate flag, sea adventure
31088-1_Angler-Fish.mpd	Technic	A model of a space shuttle with a small red robot-like figure next to it.	space shuttle, robot, model, space, technic
31088-1_Squid.mpd	Technic	A blue and yellow model of a spaceship with a yellow star on its side, featuring a cockpit and various mechanical parts.	spaceship, model, blue, yellow, mechanic
31088-1_Whale.mpd	Technic	A model of a spaceship with a blue and red color scheme, featuring a cockpit and a jet engine.	spaceship, model, blue, red, jet engine
31088-1.mpd	Technic	A model airplane with a red and blue color scheme, carrying a cargo box and a small red vehicle.	model airplane, cargo box, red vehicle, blue color scheme, cargo plane
31092-1_Glider-Plane.mpd	Technic	A model airplane with a yellow body and gray wings, featuring a simple design and a small propeller at the front.	model airplane, yellow body, gray wings, simple design, small propeller
31092-1_Power-Boat.mpd	Technic	A model of a futuristic vehicle with a sleek, angular design.	futuristic, vehicle, angular, model, technic
31092-1.mpd	Technic	A yellow and green helicopter model with a detailed design, featuring a main rotor and tail rotor.	helicopter, main rotor, tail rotor, yellow, green
311-1.mpd	Vehicles	A red and white ferry made of LEGO bricks.	ferry, LEGO, red, white, brick
31197-1_Version-A.mpd	Technic	A detailed model of a humanoid figure with a futuristic design, featuring intricate details and a metallic finish.	futuristic, mechan, robotic, model, technic
31197-1_Version-B.mpd	Technic	A detailed model of a humanoid figure with a futuristic design, featuring intricate details and a metallic finish.	futuristic, mechan, robotic, model, technic
31197-1_Version-C.mpd	Technic	A model of a vehicle with a pink and yellow color scheme, featuring intricate details and a futuristic design.	vehicle, futuristic, model, pink, yellow
31197-1_Version-D.mpd	Technic	A detailed model of a character with a futuristic design, featuring a mix of pastel colors and intricate details.	futuristic, pastel colors, character, model, technic
31199-1_Hulkbuster-Mark-I.mpd	Technic	A detailed model of Iron Man's Hulkbuster Mark I from Marvel Studios.	Iron Man, Hulkbuster, Mark I, Marvel Studios, Model
31199-1_Mark-III.mpd	Technic	A detailed model of Iron Man Mark III from Marvel Studios, featuring intricate details and vibrant colors.	Iron Man, Marvel Studios, Mark III, Model, Technic
31199-1_Mark-LXXXV.mpd	Technic	A detailed model of a Marvel Studios Iron Man Mark LXXXV, featuring intricate details and vibrant colors.	Iron Man, Marvel Studios, Mark LXXXV, Model, Technic
31199-1_Ultimate.mpd	Vehicles	A model of a vehicle with intricate details and vibrant colors.	vehicle, model, colorful, details, vehicle model
312-3.mpd	Vehicles	A red cargo ship model built with LEGO bricks.	cargo ship, LEGO, red, brick, model
31203-1.mpd	Technic	A detailed model of a vehicle with a complex mechanical structure.	mechanical model, vehicle model, complex design, mechanical components, engineering model
31313-1_Spike3r.mpd	Technic	A detailed model of a mechanical spider-like robot with red and gray components.	mechanical spider, robot, red and gray, spider-like, mechanical components
31313-1_Track3r.mpd	Technic	A detailed model of a construction vehicle with tracks and a crane.	construction vehicle, crane, tracks, model, technic
314-1.mpd	Vehicles	A LEGO model of a police launch, featuring a white and gray hull with a red front and a yellow and white cabin.	LEGO, police launch, vessel, craft, model
315-2.mpd	Vehicles	A LEGO model of a container ship with three yellow cargo containers and a red front section.	container ship, LEGO model, cargo containers, red front, blue hull
316-1.mpd	Vehicles	A model ship with a red hull and white superstructure, featuring various mechanical components and antennas.	ship, model, red hull, white superstructure, mechanical components
3178-1.mpd	Technic	A LEGO model of a seaplane with a pilot figure and a red flag on a pole.	seaplane, pilot, red flag, LEGO, aircraft
3179-1.mpd	City / Town	A LEGO city scene featuring a yellow garbage truck, a worker in a red helmet, and a green trash bin.	garbage truck, worker, red helmet, green trash bin, yellow truck
3180-1.mpd	Vehicles	A LEGO model of a tanker truck with a green and white color scheme, featuring a driver figure and some scattered LEGO bricks.	tanker truck, LEGO model, green and white, driver figure, scattered bricks
3181-1.mpd	Technic	A model of an airplane with a detailed cockpit and landing gear, featuring a blue and white color scheme.	airplane, model, blue, white, cockpit
3183-1.mpd	Vehicles	A pink and purple car with a character inside, a bucket, and a flower on top.	car, pink, purple, character, bucket
3184-1.mpd	Vehicles	A pink food truck with an open back and a small red car attached to it.	food truck, pink, open back, red car, attached
3185-1.mpd	City / Town	A detailed model of a town with various buildings, vehicles, and animals.	town, buildings, vehicles, animals, model
3186-1.mpd	City / Town	A LEGO ice cream truck with a pink roof and a red body, equipped with a conveyor belt and a display case.	LEGO, ice cream truck, pink roof, red body, conveyor belt
3187-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a modern retail store with a bakery counter, a display of pastries, and a customer interacting with a cashier.	dollhouse, retail store, bakery, customer, cashier
3188-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a flower shop with two customers and a salesperson.	dollhouse, flower shop, customers, salesperson, detailed
3189-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a quaint shop with a red roof and various accessories.	dollhouse, shop, red roof, accessories, details
3219-1.mpd	Technic	A model of a TIE fighter from Star Wars, featuring a sleek, angular design with a cockpit and wings.	TIE fighter, Star Wars, fighter, model, technic
3221-1.mpd	Vehicles	A yellow truck with a trailer, two people, and a red fire extinguisher.	yellow truck, yellow trailer, people, red fire extinguisher, fire truck
3223-1_Scorpion.mpd	Technic	A model of a small aircraft with a scorpion-like design.	scorpion, aircraft, model, technic, 3223
3223-1_Turtle.mpd	Technic	A model of a mechanical device with gears and axles, featuring a brown triangular component, a red rectangular piece, and a green base with a yellow and green section.	mechanical device, gears, axles, brown triangle, red rectangle
3223-1.mpd	Technic	A model airplane with a red body, green wings, and yellow propeller.	model airplane, red body, green wings, yellow propeller, technic
3314-1.mpd	City / Town	A police truck and a fire truck, with police officers and firefighters standing nearby.	police truck, fire truck, police officers, firefighters, emergency vehicles
3315-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a two-story house with a pink roof and various accessories.	dollhouse, house, pink roof, accessories, details
3316-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a living room, kitchen, and other rooms with furniture and decorations.	dollhouse, living room, kitchen, furniture, decorations
3404-1.mpd	City / Town	A group of LEGO figures standing near a LEGO vehicle, possibly a police car or a fire truck, in an urban setting.	LEGO, figures, vehicle, urban, city
3405-1.mpd	City / Town	A LEGO model of a police vehicle with a group of LEGO figures standing around it.	LEGO, police vehicle, figures, city, LEGO model
341-2.mpd	City / Town	A colorful, miniature house with a tree and a small figure next to it.	house, tree, figure, miniature, city
3442-1.mpd	Technic	A red and gray Technic model of a vehicle with a solar panel on top, a person in a green shirt and white hat, and a trailer with multiple gray objects.	Technic, solar panel, red vehicle, gray trailer, person in green shirt
345-1.mpd	City / Town	A small, pixelated house with a red fence and a tree in front.	house, red fence, tree, pixelated, small
346-2.mpd	City / Town	A small, colorful house with a red roof and white walls, surrounded by a green lawn and a tree, with a small truck parked outside.	house, red roof, white walls, green lawn, tree
347-3.mpd	City / Town	A red fire station with a yellow ladder and a green fire truck.	fire station, red, yellow ladder, green fire truck, fire engine
349-1.mpd	Architecture	A small, red-roofed house with a white base and a chimney, situated on a green base.	house, red roof, white base, chimney, green base
350-3.mpd	City / Town	A colorful toy fire station with a fire truck, a fire engine, and a firefighter figure.	toy fire station, fire truck, fire engine, firefighter, colorful
3501-1_Model-1.mpd	Technic	A mechanical model featuring a crane-like structure with a purple and yellow component attached to it.	crane, mechanical model, purple component, yellow component, construction
3501-1_Model-2.mpd	Technic	A model of a mechanical structure with gears and axles, featuring a yellow and purple component.	mechanical model, gears, axles, yellow component, purple component
3501-1_Model-3.mpd	Technic	A complex mechanical model featuring gears, axles, and a yellow and purple component interacting with a gray structure.	mechanical model, gears, axles, yellow component, purple component
3501-1_Model-5.mpd	Technic	A complex mechanical model featuring gears, axles, and a crane-like structure with yellow spheres attached.	mechanical model, crane, gears, axles, yellow spheres
3501-1_Model-6.mpd	Technic	A mechanical model featuring a crane-like structure with articulated arms and joints.	crane, mechanical, articulated, structure, model
3501-1_Model-7.mpd	Technic	A mechanical model featuring a yellow ball attached to a metal frame with purple connectors.	mechanical model, yellow ball, metal frame, purple connectors, technic
3501-1_MOdel-8.mpd	Technic	A complex mechanical model featuring gears, axles, and a crane-like structure.	mechanical model, crane, gears, axles, construction
3501-1_Model-9.mpd	Technic	A complex mechanical model featuring gears, axles, and a structure with two yellow spheres attached to it.	mechanical model, gears, axles, yellow spheres, complex structure
3501-1.mpd	Technic	A model of a jet car with a sleek design and yellow wheels.	jet car, yellow wheels, sleek design, model, technic
358-1.mpd	Technic	A model of a rocket base with a rocket on top, featuring a red and white striped smokestack, a yellow and blue fuel tank, and a blue and red base.	rocket, base, model, technic, construction
3602-1.mpd	Vehicles	A toy vehicle with a red umbrella attached to it.	toy vehicle, red umbrella, umbrella, toy, vehicle
3605-1.mpd	Vehicles	A toy bear riding a red scooter with yellow handlebars.	toy bear, scooter, red, yellow, scooter toy
361-2.mpd	City / Town	A small, red brick house with a gray roof and a chimney, featuring a window with a blue frame and a small figure standing outside.	house, red brick, gray roof, chimney, window
3624-1.mpd	Vehicles	A LEGO vehicle with a rabbit character holding a flower arrangement.	LEGO, rabbit, vehicle, flower arrangement, construction toy
3625-1.mpd	Technic	A red airplane model with a pilot's helmet and goggles, featuring a propeller and wings.	red airplane, pilot's helmet, propeller, wings, model
3628-1.mpd	Technic	A panda character climbing a ladder on a red vehicle, with a person in a green shirt and yellow hat nearby.	panda, climbing, ladder, red vehicle, green shirt
3636-1.mpd	Everyday Life / Interior	A LEGO model of a small house with a dog inside, a broom hanging on the wall, and a window with a red frame.	LEGO, house, dog, broom, window
3637-1.mpd	Vehicles	A yellow and red toy vehicle with a basket on top and a small figure next to it.	toy vehicle, yellow, red, basket, figure
364-1.mpd	City / Town	A model of a harbor scene with various buildings, vehicles, and a crane.	harbor, building, crane, vessel, city
3641-1.mpd	Vehicles	A LEGO ice cream cart with a red roof and yellow body, featuring a character in a Santa hat and red outfit, holding a red cup.	LEGO, ice cream cart, Santa hat, red roof, yellow body
3644-1.mpd	Technic	A yellow and red construction vehicle with a crane and a flag, accompanied by two figures in uniform and a bear.	construction vehicle, crane, flag, uniform, bear
365-1.mpd	City / Town	A colorful, miniature town scene with various buildings and vehicles.	miniature town, buildings, vehicles, colorful, miniature town
3654-1.mpd	Everyday Life / Interior	A small, colorful dollhouse-style house with a red door and green roof, surrounded by a garden with flowers and a small table with a red umbrella.	dollhouse, house, garden, flowers, table
3659-1.mpd	Vehicles	A small model of a playground with a swing set, a tree, and a red umbrella.	playground, swing set, tree, umbrella, model
3660-1.mpd	City / Town	A small, colorful house with a green roof and yellow walls, surrounded by various construction materials and tools.	house, construction site, tools, materials, colorful
3667-1.mpd	Everyday Life / Interior	A colorful Lego model of a house with a red roof, a yellow body, and a green roof. Inside the house, there are two Lego figures, one sitting on a red chair and the other lying on a red cushion. There is also a blue umbrella and a small red and yellow Lego car.	Lego house, red roof, yellow body, green roof, blue umbrella
3668-1.mpd	City / Town	A colorful miniature city scene with a fire station, a Ferris wheel, and a police car.	city, miniature, fire station, Ferris wheel, police car
3669-1.mpd	City / Town	A small, colorful building with a red roof and yellow windows, featuring a police officer and a firefighter standing outside.	building, police officer, firefighter, fire station, city
367-1.mpd	Technic	A detailed model of a moon landing vehicle with a large rocket and landing gear.	moon landing, rocket, landing gear, vehicle, model
3670-1.mpd	City / Town	A colorful toy fire station with a red fire truck, a yellow fire engine, and a teddy bear firefighter.	toy fire station, red fire truck, yellow fire engine, teddy bear firefighter, toy building
3674-1.mpd	City / Town	A colorful, miniature house with a red roof and yellow walls, featuring a small garden and various items on the roof.	miniature house, red roof, yellow walls, garden, roof items
3676-1.mpd	City / Town	A playful and colorful model of a playground with a cat character, featuring a slide, a swing set, and a small building with a red roof.	playground, cat, slide, swing set, building
3678-1.mpd	City / Town	A colorful, multi-story building with various characters and objects around it, including a truck, a cat, and a trash can.	building, characters, truck, cat, trash can
3681-1.mpd	City / Town	A colorful and playful cityscape featuring a Ferris wheel, a slide, and a small house with a red roof.	Ferris wheel, slide, house, red roof, playful
3682-1.mpd	City / Town	A construction site with a red fire truck and a crane in the foreground.	construction site, red fire truck, crane, fire, construction
3683-1.mpd	Technic	A colorful Technic model featuring a roller coaster, a crane, and a Ferris wheel.	Technic, roller coaster, crane, Ferris wheel, model
3701-1.mpd	Technic	A model of a cat pouring water from a red bucket into a yellow fire hydrant.	cat, bucket, fire hydrant, water, model
3704-1.mpd	Technic	A LEGO figure dressed in a yellow outfit, holding a mop and a red vacuum cleaner.	LEGO, figure, yellow outfit, mop, vacuum cleaner
3707-1.mpd	Animals	A cartoon horse holding a rake and wearing a blue vest.	horse, rake, blue vest, cartoon, animal
3708-1.mpd	Technic	A humanoid figure with a red body and yellow top, holding a book.	humanoid, red body, yellow top, book, technic
3715-1.mpd	City / Town	A LEGO model of a flower stand with a red umbrella and various flowers.	flower stand, red umbrella, LEGO, flowers, stand
3716-1.mpd	Technic	A model of a fox-like creature with a red and blue color scheme, featuring mechanical details and a gear-like structure.	fox, mechanical, gear, red, blue
3718-1.mpd	Everyday Life / Interior	A miniature outdoor cafe scene with a character named Bonnie Bunny, featuring a table, an umbrella, and a character holding a drink.	outdoor cafe, Bonnie Bunny, table, umbrella, character holding drink
3721-1.mpd	Technic	A green dinosaur-like creature riding a red and yellow vehicle with flags on top.	dinosaur, vehicle, flags, red, yellow
374-1.mpd	City / Town	A fire station with a red fire truck and a firefighter.	fire station, fire truck, firefighter, red, building
3740-1_Model-B.mpd	Vehicles	A model train with the number 317, featuring a blue and black color scheme.	model train, number 317, blue, black, locomotive
3741-1_Model-B.mpd	Trains	A model train with a blue and gray color scheme, featuring the number 317 on the side.	model train, blue and gray, number 317, locomotive, railway
3742-1.mpd	Vehicles	A LEGO train with the number 317 on the side.	LEGO train, 317, cargo train, lego model, lego train set
376-2.mpd	City / Town	A small, colorful house with a red roof and blue walls, featuring a chimney and a small garden with a yellow flower and a green tree.	house, red roof, blue walls, chimney, garden
377-1.mpd	Technic	A Shell gas station model made of LEGO bricks.	Shell gas station, LEGO model, gas station, Shell, brick model
3782-1.mpd	Vehicles	A LEGO model of a motorcycle with a small house attached to it.	LEGO, motorcycle, house, construction, miniature
3784-1.mpd	Technic	A red cart with a stack of buckets and a character holding a broom.	red cart, stack of buckets, character, broom, hugo hog the tinker
3791-1.mpd	City / Town	A LEGO model of a street vendor selling drinks under an umbrella.	LEGO, street vendor, umbrella, drink stand, city life
3792-1.mpd	City / Town	A LEGO construction site with a red building, a yellow platform, and a character in a blue outfit.	LEGO, construction site, red building, yellow platform, blue outfit
3794-1.mpd	City / Town	A LEGO police motorcycle with a police officer standing next to it, wearing a helmet and holding a gun.	police motorcycle, LEGO, police officer, gun, motorcycle
3795-1.mpd	Everyday Life / Interior	A LEGO model of a cat in a kitchen, complete with pots, pans, and utensils.	LEGO, cat, kitchen, kitchenware, utensils
3796-1.mpd	Everyday Life / Interior	A LEGO model of a bakery with a character dressed as a chef or baker, interacting with the display.	LEGO, bakery, chef, character, display
3798-1.mpd	Everyday Life / Interior	A LEGO model of a picnic scene with a hippopotamus character, a bench, cups, and a flower arrangement.	LEGO, hippopotamus, picnic, bench, cups
390-2.mpd	Vehicles	A vintage car model built with LEGO bricks.	vintage car, LEGO model, car model, vintage LEGO, vintage vehicle
392-1.mpd	Technic	A model of a vehicle with a blue body, yellow accents, and red wheels.	vehicle, model, blue, yellow, red
3930-1.mpd	Everyday Life / Interior	A dollhouse-style bakery with a display of pastries and a character standing next to it.	bakery, pastries, character, dollhouse, display
3931-1.mpd	Everyday Life / Interior	A dollhouse-style build featuring a spa or salon with a reception desk, a bed, and a counter with a plant.	spa, reception desk, bed, counter, plant
3932-1.mpd	City / Town	A LEGO model depicting a medical examination setup with a skeleton, a doctor, and various medical equipment.	LEGO, medical, examination, skeleton, doctor
3933-1.mpd	Technic	A detailed model of a laboratory setup with various scientific instruments and a person working at a desk.	laboratory, scientific instruments, person, desk, model
3934-1.mpd	Everyday Life / Interior	A LEGO dollhouse with a pink roof, a tree, a basket, and a character standing next to it.	LEGO, dollhouse, pink roof, tree, basket
3935-1.mpd	Vehicles	A LEGO vehicle with a yellow roof and green base, featuring a small figure standing next to it.	LEGO vehicle, yellow roof, green base, small figure, standing
3936-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build of a modern cafe or restaurant with a counter, stools, a laptop, a burger, a flower arrangement, and a person standing near the counter.	dollhouse, cafe, restaurant, counter, person
3937-1.mpd	Vehicles	A detailed model of a boat with a person sitting inside, surrounded by various LEGO pieces and accessories.	boat, LEGO, model, person, accessories
3938-1.mpd	Everyday Life / Interior	A LEGO dollhouse with a pink roof, a palm tree, and a small garden with flowers.	LEGO, dollhouse, pink roof, palm tree, garden
3939-1.mpd	Everyday Life / Interior	A dollhouse-style build featuring a doll in a pink dress standing next to a dollhouse with various furniture and decorations.	dollhouse, dolls, pink dress, furniture, decorations
3942-1.mpd	City / Town	A colorful and detailed LEGO model of a cityscape with various buildings, flags, and a person standing near a staircase.	LEGO, city, buildings, flags, person
395-1.mpd	Technic	A model of a vehicle with a red and white color scheme, featuring a classic design with a flat front and large wheels.	vehicle, classic, red, white, model
396-1.mpd	Vehicles	A toy train model with a blue and red color scheme, featuring the number 396 on the front.	toy train, blue train, red train, number 396, model train
40011-1.mpd	Technic	A LEGO model of a bird with a red body, yellow beak, and grey wings.	LEGO, bird, red, yellow, grey
40012-1.mpd	Technic	A LEGO model of a character with a green head and brown body, featuring a blocky design typical of LEGO Technic sets.	LEGO, Technic, character, green head, brown body
40013-1.mpd	Technic	A model of a character with a blocky, pixelated design, featuring two dark eyes and a simple, blocky body.	blocky, pixelated, character, dark eyes, simple body
40014-1.mpd	Technic	A model of a building with two golden spheres on top, resembling a tower or a structure with a unique design.	building, golden spheres, tower, model, technic
4002-1.mpd	Vehicles	A LEGO model of a red and white speedboat with a small figure in a yellow life jacket standing next to it.	LEGO, speedboat, red, white, figure
4002020-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a market or street scene with various stalls and shops.	dollhouse, market, shops, street, detailed
4005-1.mpd	Vehicles	A LEGO model of a cargo ship with a worker standing on the deck.	cargo ship, LEGO, worker, deck, vessel
4010-1.mpd	City / Town	A police vehicle with a police officer standing next to it.	police vehicle, police officer, vehicle, standing, uniform
40138-1.mpd	Trains	A Christmas-themed train set with a Santa Claus figure and a decorated Christmas tree.	Christmas train, Santa Claus, Christmas tree, train set, holiday decoration
40141-1.mpd	City / Town	A detailed model of a modern building with various elements such as plants, furniture, and vehicles.	building, modern, plants, furniture, vehicles
40142-1.mpd	City / Town	A small town with a hospital building, a fire truck, and a police car.	hospital, fire truck, police car, town, building
40143-1.mpd	City / Town	A detailed model of a building with various shops and a small vehicle in front.	building, shops, vehicle, model, city
40144-1.mpd	Vehicles	A blue and white truck parked next to a building with a red awning.	truck, building, red awning, blue, white
40148-1.mpd	Robots / Mecha	A robot with a sheep-like head and body, standing on a platform.	sheep robot, mecha, robot, sheep head, platform
4015-1.mpd	Vehicles	A LEGO model of a cargo ship with red cargo containers and two LEGO figures standing next to it.	cargo ship, LEGO model, red containers, cargo, figures
4016-1.mpd	Technic	A LEGO model of a race car with a red roof and green body, featuring large wheels and a yellow engine.	LEGO, race car, red roof, green body, yellow engine
4017-1.mpd	Vehicles	A LEGO model of a Sea Helicopter with a red, green, and yellow color scheme.	LEGO, Sea Helicopter, Red, Green, Yellow
4018-1.mpd	Vehicles	A LEGO model of a ship with a red, yellow, and green flag on top.	LEGO, ship, flag, model, vessel
40180-1.mpd	Technic	A detailed model of a construction site with various machinery and vehicles.	construction site, machinery, vehicles, model, technic
40181-1.mpd	City / Town	A miniature model of a building with a colorful awning and a small vehicle nearby.	building, miniature, colorful awning, vehicle, model
40182-1.mpd	City / Town	A LEGO fire station with a red fire truck and a ladder.	fire station, fire truck, ladder, LEGO, red
40183-1.mpd	City / Town	A detailed model of a clock tower with a fire engine and a school bus in front of it.	clock tower, fire engine, school bus, urban scene, construction
4019-1.mpd	Technic	A LEGO model of an airplane with a green and red body, a yellow propeller, and a red and gray tail.	LEGO, airplane, green, red, yellow
40190-1.mpd	Technic	A detailed model of a race car with a sleek design and realistic mechanical components.	race car, sleek design, mechanical components, realistic, model
40191-1.mpd	Technic	A red car model made of LEGO bricks.	LEGO, car, red, brick, model
40192-1.mpd	Technic	A blue, blocky vehicle with a simple, angular design.	blocky, simple, angular, vehicle, blue
40193-1.mpd	Technic	A yellow, blocky vehicle with a boxy design and multiple wheels.	yellow, blocky, vehicle, multiple wheels, boxy
40194-1.mpd	City / Town	A LEGO model of a fire station with a fire truck, a firefighter figure, and a crane.	fire station, fire truck, firefighter, crane, LEGO
40195-1.mpd	City / Town	A LEGO model of a small building with a red flag and a person standing next to it.	LEGO, building, flag, person, city
40199-1.mpd	Technic	A detailed model of a futuristic cityscape with various buildings, vehicles, and flags.	futuristic city, model buildings, futuristic vehicles, futuristic flags, cityscape
4025-1.mpd	Vehicles	A LEGO model of a red fireboat with a yellow crane and a firefighter figure.	fireboat, fireboat model, firefighter, crane, LEGO
40270-1.mpd	Technic	A LEGO model featuring a crane with a heart-shaped object being lifted.	crane, heart, LEGO, model, construction
40271-1.mpd	Technic	A LEGO model of a bunny with a camera attached to its head, surrounded by various LEGO accessories and a small tree.	LEGO, bunny, camera, accessories, tree
